element,gw,xpts
4,1,3.6
28,1,2.34
86,1,1.8
106,1,2.25
124,1,1.8
142,1,2.25
200,1,2.52
226,1,2.97
346,1,1.8
368,1,2.25
387,1,2.79
389,1,1.47
399,1,2.34
426,1,3.6
463,1,1.8
199,1,1.71
411,1,3.6
397,1,2.61
531,1,1.71
388,1,2.52
480,1,2.52
165,1,2.16
12,1,2.88
13,1,2.34
236,1,2.07
533,1,2.25
498,1,2.52
356,1,2.79
481,1,2.07
427,1,2.52
201,1,2.25
260,1,2.07
335,1,1.89
229,1,2.52
40,1,2.34
428,1,2.52
55,1,2.25
391,1,2.25
155,1,2.25
154,1,2.88
1,1,3.6
390,1,2.25
542,1,1.89
8,1,2.25
208,1,2.07
95,1,2.07
112,1,1.98
371,1,1.89
452,1,1.26
532,1,1.98
418,1,1.98
231,1,1.98
237,1,1.89
238,1,2.07
398,1,2.25
384,1,2.97
67,1,2.07
529,1,2.34
327,1,1.98
366,1,2.34
535,1,1.98
202,1,1.98
82,1,2.34
415,1,1.89
336,1,1.89
525,1,1.89
61,1,2.25
10,1,2.25
338,1,1.8
527,1,1.8
367,1,2.25
473,1,1.53
156,1,2.07
544,1,1.8
84,1,2.25
350,1,2.97
445,1,1.98
442,1,2.34
447,1,1.98
130,1,1.98
25,1,2.16
68,1,1.89
204,1,1.53
223,1,1.89
203,1,1.98
94,1,1.89
412,1,2.34
392,1,2.25
351,1,2.34
469,1,1.98
19,1,1.8
9,1,2.25
256,1,1.53
91,1,1.53
499,1,2.25
417,1,1.98
467,1,2.34
109,1,1.71
129,1,1.8
123,1,1.89
60,1,2.25
47,1,1.35
45,1,1.8
14,1,2.07
261,1,1.8
96,1,1.8
337,1,1.8
503,1,1.98
508,1,0.9
516,1,1.8
472,1,2.25
69,1,1.89
159,1,1.8
269,1,1.53
32,1,1.53
543,1,1.8
210,1,1.8
230,1,2.25
393,1,2.25
488,1,1.35
140,1,2.34
446,1,1.98
448,1,1.98
465,1,1.8
114,1,1.53
113,1,1.53
328,1,1.98
257,1,1.53
385,1,2.34
332,1,1.53
423,1,1.53
400,1,1.4
232,1,1.98
234,1,1.53
471,1,2.25
491,1,1.8
357,1,2.25
459,1,1.8
15,1,2.07
512,1,1.19
88,1,1.53
329,1,1.53
552,1,1.8
549,1,1.8
536,1,1.53
439,1,1.19
250,1,1.71
127,1,1.35
116,1,1.53
372,1,1.8
