gw,strategy,pts,xi_pts,captain_bonus,hits,bench_pts,chip,n_transfers,captain_id,free_transfers,bank,cumulative
1,baseline_1ft,47,46,1,0,0,,0,19,1,3.0,47
2,baseline_1ft,32,30,2,0,0,,2,19,2,11.5,79
3,baseline_1ft,34,31,3,0,0,,1,19,1,20.0,113
4,baseline_1ft,17,16,1,0,0,,1,19,1,21.5,130
5,baseline_1ft,41,34,7,0,0,,0,19,1,21.5,171
6,baseline_1ft,15,14,1,0,0,,0,19,2,21.5,186
7,baseline_1ft,29,28,1,0,0,,0,19,3,21.5,215
8,baseline_1ft,43,42,1,0,0,,0,19,4,21.5,258
9,baseline_1ft,25,24,1,0,0,,0,19,5,21.5,283
10,baseline_1ft,59,45,14,0,0,,1,19,5,20.9,342
11,baseline_1ft,18,14,4,0,0,,0,19,5,20.9,360
12,baseline_1ft,25,22,3,0,0,,1,19,5,20.9,385
13,baseline_1ft,35,34,1,0,0,,1,19,5,19.8,420
14,baseline_1ft,31,28,3,0,0,,0,19,5,19.8,451
15,baseline_1ft,17,16,1,0,0,,1,19,5,10.0,468
16,baseline_1ft,40,39,1,0,0,,0,19,5,10.0,508
17,baseline_1ft,44,44,0,0,0,,1,19,5,7.9,552
18,baseline_1ft,27,26,1,0,0,,0,19,5,7.9,579
19,baseline_1ft,27,27,0,0,0,,1,19,5,10.0,606
20,baseline_1ft,41,36,5,0,0,,0,19,5,10.0,647
21,baseline_1ft,33,33,0,0,0,,0,19,5,10.0,680
22,baseline_1ft,26,25,1,0,0,,2,19,5,7.0,706
23,baseline_1ft,29,28,1,0,0,,0,19,4,7.0,735
24,baseline_1ft,37,33,4,0,0,,0,19,5,7.0,772
25,baseline_1ft,40,36,4,0,0,,1,19,5,6.3,812
26,baseline_1ft,50,48,2,0,0,,1,19,5,6.4,862
27,baseline_1ft,42,41,1,0,0,,0,19,5,6.4,904
28,baseline_1ft,36,35,1,0,0,,0,19,5,6.4,940
29,baseline_1ft,27,26,1,0,0,,0,19,5,6.4,967
30,baseline_1ft,35,31,4,0,0,,0,19,5,6.4,1002
31,baseline_1ft,23,22,1,0,0,,1,19,5,6.4,1025
32,baseline_1ft,35,34,1,0,0,,1,19,5,5.9,1060
33,baseline_1ft,47,46,1,0,0,,1,19,5,5.9,1107
34,baseline_1ft,47,47,0,0,0,,1,19,5,5.9,1154
35,baseline_1ft,43,43,0,0,0,,0,19,5,5.9,1197
36,baseline_1ft,32,23,9,0,0,,0,19,5,5.9,1229
37,baseline_1ft,45,44,1,0,0,,0,19,5,5.9,1274
38,baseline_1ft,44,37,7,0,0,,2,19,5,3.1,1318
1,ml_1ft,28,25,3,0,0,,0,235,1,2.0,28
2,ml_1ft,67,65,2,0,0,,2,235,2,0.5,95
3,ml_1ft,31,29,2,0,0,,1,235,1,0.0,126
4,ml_1ft,41,41,0,0,0,,1,267,1,1.4,167
5,ml_1ft,10,10,0,0,0,,1,382,1,2.8,177
6,ml_1ft,29,27,2,0,0,,1,249,1,2.2,206
7,ml_1ft,52,46,6,0,0,,1,119,1,2.4,258
8,ml_1ft,43,41,2,0,0,,1,624,1,2.1,301
9,ml_1ft,70,65,5,0,0,,1,624,1,1.3,371
10,ml_1ft,48,46,2,0,0,,1,624,1,1.7,419
11,ml_1ft,43,40,3,0,0,,1,414,1,4.0,462
12,ml_1ft,22,21,1,0,0,,1,119,1,2.5,484
13,ml_1ft,62,47,15,0,0,,1,414,1,2.2,546
14,ml_1ft,50,46,4,0,0,,1,449,1,3.5,596
15,ml_1ft,92,74,18,0,0,,1,449,1,2.7,688
16,ml_1ft,70,68,2,0,0,,1,119,1,1.5,758
17,ml_1ft,52,46,6,0,0,,1,119,1,2.5,810
18,ml_1ft,45,43,2,0,0,,1,414,1,4.9,855
19,ml_1ft,41,38,3,0,0,,1,414,1,2.1,896
20,ml_1ft,45,43,2,0,0,,1,414,1,2.8,941
21,ml_1ft,58,56,2,0,0,,1,414,1,3.0,999
22,ml_1ft,38,37,1,0,0,,1,414,1,2.3,1037
23,ml_1ft,76,64,12,0,0,,1,488,1,3.4,1113
24,ml_1ft,77,65,12,0,0,,1,382,1,3.3,1190
25,ml_1ft,60,50,10,0,0,,1,47,1,2.0,1250
26,ml_1ft,54,52,2,0,0,,1,47,1,2.8,1304
27,ml_1ft,55,51,4,0,0,,1,624,1,1.6,1359
28,ml_1ft,76,74,2,0,0,,1,47,1,0.9,1435
29,ml_1ft,83,76,7,0,0,,1,82,1,2.1,1518
30,ml_1ft,57,51,6,0,0,,1,624,1,2.0,1575
31,ml_1ft,52,50,2,0,0,,1,84,1,4.8,1627
32,ml_1ft,84,70,14,0,0,,1,624,1,4.0,1711
33,ml_1ft,62,55,7,0,0,,1,235,1,0.7,1773
34,ml_1ft,64,54,10,0,0,,1,624,1,4.1,1837
35,ml_1ft,40,38,2,0,0,,1,624,1,5.4,1877
36,ml_1ft,55,53,2,0,0,,1,624,1,5.5,1932
37,ml_1ft,71,62,9,0,0,,1,449,1,2.5,2003
38,ml_1ft,52,50,2,0,0,,1,136,1,2.0,2055
1,ml_wildcard20,28,25,3,0,0,,0,235,1,2.0,28
2,ml_wildcard20,67,65,2,0,0,,2,235,2,0.5,95
3,ml_wildcard20,31,29,2,0,0,,1,235,1,0.0,126
4,ml_wildcard20,41,41,0,0,0,,1,267,1,1.4,167
