gw,strategy,pts,xi_pts,captain_bonus,hits,bench_pts,chip,n_transfers,captain_id,free_transfers,bank,cumulative
1,FH@31+BB@33+TC@36,28,25,3,0,0,,0,235,1,2.0,28
2,FH@31+BB@33+TC@36,71,65,6,0,0,,2,235,2,0.5,99
3,FH@31+BB@33+TC@36,36,29,7,0,0,,1,235,1,0.0,135
4,FH@31+BB@33+TC@36,48,41,7,0,0,,1,267,1,1.4,183
5,FH@31+BB@33+TC@36,10,10,0,0,0,,1,382,1,2.8,193
6,FH@31+BB@33+TC@36,29,27,2,0,0,,1,249,1,2.2,222
7,FH@31+BB@33+TC@36,52,46,6,0,0,,1,119,1,2.4,274
8,FH@31+BB@33+TC@36,43,41,2,0,0,,1,624,1,2.1,317
9,FH@31+BB@33+TC@36,70,65,5,0,0,,1,624,1,1.3,387
10,FH@31+BB@33+TC@36,48,46,2,0,0,,1,624,1,1.7,435
11,FH@31+BB@33+TC@36,43,40,3,0,0,,1,414,1,4.0,478
12,FH@31+BB@33+TC@36,22,21,1,0,0,,1,119,1,2.5,500
13,FH@31+BB@33+TC@36,62,47,15,0,0,,1,414,1,2.2,562
14,FH@31+BB@33+TC@36,48,44,4,0,0,wildcard,13,449,1,0.1,610
15,FH@31+BB@33+TC@36,83,65,18,0,0,,2,449,2,1.9,693
16,FH@31+BB@33+TC@36,81,73,8,0,0,,1,624,1,0.2,774
17,FH@31+BB@33+TC@36,62,59,3,0,0,,1,414,1,0.3,836
18,FH@31+BB@33+TC@36,35,33,2,0,0,,1,414,1,2.3,871
19,FH@31+BB@33+TC@36,51,48,3,0,0,,1,414,1,1.8,922
20,FH@31+BB@33+TC@36,36,34,2,0,0,,1,414,1,0.1,958
21,FH@31+BB@33+TC@36,71,65,6,0,0,,1,430,1,0.8,1029
22,FH@31+BB@33+TC@36,24,22,2,0,0,,1,430,1,0.5,1053
23,FH@31+BB@33+TC@36,73,72,1,0,0,,1,430,1,1.7,1126
24,FH@31+BB@33+TC@36,57,49,8,0,0,,1,624,1,0.2,1183
25,FH@31+BB@33+TC@36,73,63,10,0,0,,1,47,1,0.0,1256
26,FH@31+BB@33+TC@36,101,87,14,0,0,,1,21,1,0.8,1357
27,FH@31+BB@33+TC@36,78,74,4,0,0,,1,624,1,0.1,1435
28,FH@31+BB@33+TC@36,58,56,2,0,0,,1,47,1,0.7,1493
29,FH@31+BB@33+TC@36,63,56,7,0,0,,1,82,1,0.1,1556
30,FH@31+BB@33+TC@36,54,43,11,0,0,,1,387,1,0.0,1610
31,FH@31+BB@33+TC@36,50,48,2,0,0,freehit,0,235,1,2.8,1660
32,FH@31+BB@33+TC@36,98,84,14,0,0,,2,624,2,0.8,1758
33,FH@31+BB@33+TC@36,104,74,13,0,17,bboost,1,430,1,1.2,1862
34,FH@31+BB@33+TC@36,40,30,10,0,0,,1,624,1,1.2,1902
35,FH@31+BB@33+TC@36,42,40,2,0,0,,1,624,1,1.7,1944
36,FH@31+BB@33+TC@36,90,68,22,0,0,3xc,1,430,1,0.9,2034
37,FH@31+BB@33+TC@36,77,70,7,0,0,,1,691,1,9.8,2111
38,FH@31+BB@33+TC@36,37,35,2,0,0,,1,136,1,9.3,2148
