season,model_family,seed,total_pts,captain_bonus,n_gws
2024-25,Baseline,-1,1315,120,38
2024-25,XGB/LGB,0,2101,312,38
2024-25,RandomForest,0,2248,344,38
2024-25,Ensemble XGB+RF,0,2262,344,38
2024-25,XGB/LGB,1,2130,286,38
2024-25,RandomForest,1,2132,326,38
2024-25,Ensemble XGB+RF,1,2247,347,38
2024-25,XGB/LGB,2,2331,309,38
2024-25,RandomForest,2,2246,343,38
2024-25,Ensemble XGB+RF,2,2270,360,38
2024-25,XGB/LGB,3,2175,271,38
2024-25,RandomForest,3,2115,349,38
2024-25,Ensemble XGB+RF,3,2270,345,38
2024-25,XGB/LGB,42,1999,245,38
2024-25,RandomForest,42,2269,331,38
2024-25,Ensemble XGB+RF,42,2174,312,38
